	Team 1	Team 2	Home_team_score	Away_team_score
519	Wigan Athletic FC (	Manchester City FC (	0	2
520	Arsenal FC (	Swansea City AFC (	0	2
521	Fulham FC (	Tottenham Hotspur FC (	0	3
522	Liverpool FC (	Southampton FC (	1	0
523	Manchester City FC (	Everton FC (	1	1
524	Queens Park Rangers FC (	Aston Villa FC (	1	1
525	Reading FC (	Manchester United FC (	3	4
526	West Bromwich Albion FC (	Stoke City FC (	0	1
527	West Ham United FC (	Chelsea FC (	3	1
528	Norwich City FC (	Sunderland AFC (	2	1
529	Newcastle United FC (	Wigan Athletic FC (	3	0
530	Arsenal FC (	West Bromwich Albion FC (	2	0
531	Aston Villa FC (	Stoke City FC (	0	0
532	Southampton FC (	Reading FC (	1	0
533	Sunderland AFC (	Chelsea FC (	1	3
534	Swansea City AFC (	Norwich City FC (	3	4
535	Wigan Athletic FC (	Queens Park Rangers FC (	2	2
536	Everton FC (	Tottenham Hotspur FC (	2	1
537	Manchester City FC (	Manchester United FC (	2	3
538	West Ham United FC (	Liverpool FC (	2	3
539	Fulham FC (	Newcastle United FC (	2	1
540	Sunderland AFC (	Reading FC (	3	0
541	Liverpool FC (	Aston Villa FC (	1	3
542	Manchester United FC (	Sunderland AFC (	3	1
543	Newcastle United FC (	Manchester City FC (	1	3
544	Norwich City FC (	Wigan Athletic FC (	2	1
545	Queens Park Rangers FC (	Fulham FC (	2	1
546	Stoke City FC (	Everton FC (	1	1
547	Tottenham Hotspur FC (	Swansea City AFC (	1	0
548	West Bromwich Albion FC (	West Ham United FC (	0	0
549	Reading FC (	Arsenal FC (	2	5
550	Liverpool FC (	Fulham FC (	4	0
551	Manchester City FC (	Reading FC (	1	0
552	Newcastle United FC (	Queens Park Rangers FC (	1	0
553	Southampton FC (	Sunderland AFC (	0	1
554	Tottenham Hotspur FC (	Stoke City FC (	0	0
555	West Bromwich Albion FC (	Norwich City FC (	2	1
556	West Ham United FC (	Everton FC (	1	2
557	Wigan Athletic FC (	Arsenal FC (	0	1
558	Chelsea FC (	Aston Villa FC (	8	0
559	Swansea City AFC (	Manchester United FC (	1	1
560	Aston Villa FC (	Tottenham Hotspur FC (	0	4
561	Everton FC (	Wigan Athletic FC (	2	1
562	Fulham FC (	Southampton FC (	1	1
563	Manchester United FC (	Newcastle United FC (	4	3
564	Norwich City FC (	Chelsea FC (	0	1
565	Queens Park Rangers FC (	West Bromwich Albion FC (	1	2
566	Reading FC (	Swansea City AFC (	0	0
567	Stoke City FC (	Liverpool FC (	3	1
568	Sunderland AFC (	Manchester City FC (	1	0
569	Arsenal FC (	Newcastle United FC (	7	3
570	Aston Villa FC (	Wigan Athletic FC (	0	3
571	Fulham FC (	Swansea City AFC (	1	2
572	Manchester United FC (	West Bromwich Albion FC (	2	0
573	Norwich City FC (	Manchester City FC (	3	4
574	Reading FC (	West Ham United FC (	1	0
575	Stoke City FC (	Southampton FC (	3	3
576	Sunderland AFC (	Tottenham Hotspur FC (	1	2
577	Everton FC (	Chelsea FC (	1	2
578	Queens Park Rangers FC (	Liverpool FC (	0	3
579	Manchester City FC (	Stoke City FC (	3	0
580	Southampton FC (	Arsenal FC (	1	1
581	Swansea City AFC (	Aston Villa FC (	2	2
582	Tottenham Hotspur FC (	Reading FC (	3	1
583	West Bromwich Albion FC (	Fulham FC (	1	2
584	West Ham United FC (	Norwich City FC (	2	1
585	Wigan Athletic FC (	Manchester United FC (	0	4
586	Chelsea FC (	Queens Park Rangers FC (	0	1
587	Liverpool FC (	Sunderland AFC (	3	0
588	Newcastle United FC (	Everton FC (	1	2
589	Aston Villa FC (	Southampton FC (	0	1
590	Everton FC (	Swansea City AFC (	0	0
591	Fulham FC (	Wigan Athletic FC (	1	1
592	Norwich City FC (	Newcastle United FC (	0	0
593	Queens Park Rangers FC (	Tottenham Hotspur FC (	0	0
594	Reading FC (	West Bromwich Albion FC (	3	2
595	Stoke City FC (	Chelsea FC (	0	4
596	Sunderland AFC (	West Ham United FC (	3	0
597	Arsenal FC (	Manchester City FC (	0	2
598	Manchester United FC (	Liverpool FC (	2	1
599	Chelsea FC (	Southampton FC (	2	2
600	Liverpool FC (	Norwich City FC (	5	0
601	Manchester City FC (	Fulham FC (	2	0
602	Newcastle United FC (	Reading FC (	1	2
603	Swansea City AFC (	Stoke City FC (	3	1
604	West Bromwich Albion FC (	Aston Villa FC (	2	2
605	West Ham United FC (	Queens Park Rangers FC (	1	1
606	Wigan Athletic FC (	Sunderland AFC (	2	3
607	Chelsea FC (	Arsenal FC (	2	1
608	Tottenham Hotspur FC (	Manchester United FC (	1	1
609	Southampton FC (	Everton FC (	0	0
610	Arsenal FC (	West Ham United FC (	5	1
611	Aston Villa FC (	Newcastle United FC (	1	2
612	Queens Park Rangers FC (	Manchester City FC (	0	0
613	Stoke City FC (	Wigan Athletic FC (	2	2
614	Sunderland AFC (	Swansea City AFC (	0	0
615	Arsenal FC (	Liverpool FC (	2	2
616	Everton FC (	West Bromwich Albion FC (	2	1
617	Fulham FC (	West Ham United FC (	3	1
618	Manchester United FC (	Southampton FC (	2	1
619	Norwich City FC (	Tottenham Hotspur FC (	1	1
620	Reading FC (	Chelsea FC (	2	2
621	Arsenal FC (	Stoke City FC (	1	0
622	Everton FC (	Aston Villa FC (	3	3
623	Fulham FC (	Manchester United FC (	0	1
624	Newcastle United FC (	Chelsea FC (	3	2
625	Queens Park Rangers FC (	Norwich City FC (	0	0
626	Reading FC (	Sunderland AFC (	2	1
627	West Ham United FC (	Swansea City AFC (	1	0
628	Wigan Athletic FC (	Southampton FC (	2	2
629	Manchester City FC (	Liverpool FC (	2	2
630	West Bromwich Albion FC (	Tottenham Hotspur FC (	0	1
631	Chelsea FC (	Wigan Athletic FC (	4	1
632	Norwich City FC (	Fulham FC (	0	0
633	Southampton FC (	Manchester City FC (	3	1
634	Stoke City FC (	Reading FC (	2	1
635	Sunderland AFC (	Arsenal FC (	0	1
636	Swansea City AFC (	Queens Park Rangers FC (	4	1
637	Tottenham Hotspur FC (	Newcastle United FC (	2	1
638	Aston Villa FC (	West Ham United FC (	2	1
639	Manchester United FC (	Everton FC (	2	0
640	Liverpool FC (	West Bromwich Albion FC (	0	2
641	Liverpool FC (	Swansea City AFC (	5	0
642	Arsenal FC (	Aston Villa FC (	2	1
643	Fulham FC (	Stoke City FC (	1	0
644	Norwich City FC (	Everton FC (	2	1
645	Queens Park Rangers FC (	Manchester United FC (	0	2
646	Reading FC (	Wigan Athletic FC (	0	3
647	West Bromwich Albion FC (	Sunderland AFC (	2	1
648	Manchester City FC (	Chelsea FC (	2	0
649	Newcastle United FC (	Southampton FC (	4	2
650	West Ham United FC (	Tottenham Hotspur FC (	2	3
651	Chelsea FC (	West Bromwich Albion FC (	1	0
652	Everton FC (	Reading FC (	3	1
653	Manchester United FC (	Norwich City FC (	4	0
654	Southampton FC (	Queens Park Rangers FC (	1	2
655	Stoke City FC (	West Ham United FC (	0	1
656	Sunderland AFC (	Fulham FC (	2	2
657	Swansea City AFC (	Newcastle United FC (	1	0
658	Wigan Athletic FC (	Liverpool FC (	0	4
659	Tottenham Hotspur FC (	Arsenal FC (	2	1
660	Aston Villa FC (	Manchester City FC (	0	1
661	Norwich City FC (	Southampton FC (	0	0
662	Queens Park Rangers FC (	Sunderland AFC (	3	1
663	Reading FC (	Aston Villa FC (	1	2
664	West Bromwich Albion FC (	Swansea City AFC (	2	1
665	Liverpool FC (	Tottenham Hotspur FC (	3	2
666	Newcastle United FC (	Stoke City FC (	2	1
667	Aston Villa FC (	Queens Park Rangers FC (	3	2
668	Everton FC (	Manchester City FC (	2	0
669	Manchester United FC (	Reading FC (	1	0
670	Southampton FC (	Liverpool FC (	3	1
671	Stoke City FC (	West Bromwich Albion FC (	0	0
672	Swansea City AFC (	Arsenal FC (	0	2
673	Chelsea FC (	West Ham United FC (	2	0
674	Sunderland AFC (	Norwich City FC (	1	1
675	Tottenham Hotspur FC (	Fulham FC (	0	1
676	Wigan Athletic FC (	Newcastle United FC (	2	1
677	Arsenal FC (	Reading FC (	4	1
678	Everton FC (	Stoke City FC (	1	0
679	Manchester City FC (	Newcastle United FC (	4	0
680	Southampton FC (	Chelsea FC (	2	1
681	Sunderland AFC (	Manchester United FC (	0	1
682	Swansea City AFC (	Tottenham Hotspur FC (	1	2
683	West Ham United FC (	West Bromwich Albion FC (	3	1
684	Wigan Athletic FC (	Norwich City FC (	1	0
685	Aston Villa FC (	Liverpool FC (	1	2
686	Fulham FC (	Queens Park Rangers FC (	3	2
687	Norwich City FC (	Swansea City AFC (	2	2
688	Reading FC (	Southampton FC (	0	2
689	Stoke City FC (	Aston Villa FC (	1	3
690	West Bromwich Albion FC (	Arsenal FC (	1	2
691	Chelsea FC (	Sunderland AFC (	2	1
692	Liverpool FC (	West Ham United FC (	0	0
693	Newcastle United FC (	Fulham FC (	1	0
694	Queens Park Rangers FC (	Wigan Athletic FC (	1	1
695	Tottenham Hotspur FC (	Everton FC (	2	2
696	Manchester United FC (	Manchester City FC (	1	2
697	Arsenal FC (	Norwich City FC (	3	1
698	Aston Villa FC (	Fulham FC (	1	1
699	Everton FC (	Queens Park Rangers FC (	2	0
700	Reading FC (	Liverpool FC (	0	0
701	Southampton FC (	West Ham United FC (	1	1
702	Newcastle United FC (	Sunderland AFC (	0	3
703	Stoke City FC (	Manchester United FC (	0	2
704	Arsenal FC (	Everton FC (	0	0
705	Fulham FC (	Chelsea FC (	0	3
706	Manchester City FC (	Wigan Athletic FC (	1	0
707	West Ham United FC (	Manchester United FC (	2	2
708	Fulham FC (	Arsenal FC (	0	1
709	Norwich City FC (	Reading FC (	2	1
710	Queens Park Rangers FC (	Stoke City FC (	0	2
711	Sunderland AFC (	Everton FC (	1	0
712	Swansea City AFC (	Southampton FC (	0	0
713	West Bromwich Albion FC (	Newcastle United FC (	1	1
714	West Ham United FC (	Wigan Athletic FC (	2	0
715	Liverpool FC (	Chelsea FC (	2	2
716	Tottenham Hotspur FC (	Manchester City FC (	3	1
717	Manchester United FC (	Aston Villa FC (	3	0
718	Everton FC (	Fulham FC (	1	0
719	Manchester City FC (	West Ham United FC (	2	1
720	Newcastle United FC (	Liverpool FC (	0	6
721	Southampton FC (	West Bromwich Albion FC (	0	3
722	Stoke City FC (	Norwich City FC (	1	0
723	Wigan Athletic FC (	Tottenham Hotspur FC (	2	2
724	Arsenal FC (	Manchester United FC (	1	1
725	Chelsea FC (	Swansea City AFC (	2	0
726	Reading FC (	Queens Park Rangers FC (	0	0
727	Aston Villa FC (	Sunderland AFC (	6	1
728	Fulham FC (	Reading FC (	2	4
729	Norwich City FC (	Aston Villa FC (	1	2
730	Queens Park Rangers FC (	Arsenal FC (	0	1
731	Swansea City AFC (	Manchester City FC (	0	0
732	Tottenham Hotspur FC (	Southampton FC (	1	0
733	West Bromwich Albion FC (	Wigan Athletic FC (	2	3
734	West Ham United FC (	Newcastle United FC (	0	0
735	Liverpool FC (	Everton FC (	0	0
736	Manchester United FC (	Chelsea FC (	0	1
737	Sunderland AFC (	Stoke City FC (	1	1
738	Manchester City FC (	West Bromwich Albion FC (	1	0
739	Wigan Athletic FC (	Swansea City AFC (	2	3
740	Chelsea FC (	Tottenham Hotspur FC (	2	2
741	Aston Villa FC (	Chelsea FC (	1	2
742	Everton FC (	West Ham United FC (	2	0
743	Fulham FC (	Liverpool FC (	1	3
744	Manchester United FC (	Swansea City AFC (	2	1
745	Norwich City FC (	West Bromwich Albion FC (	4	0
746	Queens Park Rangers FC (	Newcastle United FC (	1	2
747	Stoke City FC (	Tottenham Hotspur FC (	1	2
748	Sunderland AFC (	Southampton FC (	1	1
749	Arsenal FC (	Wigan Athletic FC (	4	1
750	Reading FC (	Manchester City FC (	0	2
751	Chelsea FC (	Everton FC (	2	1
752	Liverpool FC (	Queens Park Rangers FC (	1	0
753	Manchester City FC (	Norwich City FC (	2	3
754	Newcastle United FC (	Arsenal FC (	0	1
755	Southampton FC (	Stoke City FC (	1	1
756	Swansea City AFC (	Fulham FC (	0	3
757	Tottenham Hotspur FC (	Sunderland AFC (	1	0
758	West Bromwich Albion FC (	Manchester United FC (	5	5
759	West Ham United FC (	Reading FC (	4	2
760	Wigan Athletic FC (	Aston Villa FC (	2	2
761	Tea	Tea	F	T
762	Arsenal FC 	Aston Villa FC 	1	3
763	Liverpool FC 	Stoke City FC 	1	0
764	Norwich City FC 	Everton FC 	2	2
765	Sunderland AFC 	Fulham FC 	0	1
766	Swansea City AFC 	Manchester United FC 	1	4
767	West Bromwich Albion FC 	Southampton FC 	0	1
768	West Ham United FC 	Cardiff City FC 	2	0
769	Chelsea FC 	Hull City AFC 	2	0
770	Crystal Palace FC 	Tottenham Hotspur FC 	0	1
771	Manchester City FC 	Newcastle United FC 	4	0
772	Chelsea FC 	Aston Villa FC 	2	1
773	Aston Villa FC 	Liverpool FC 	0	1
774	Everton FC 	West Bromwich Albion FC 	0	0
775	Fulham FC 	Arsenal FC 	1	3
776	Hull City AFC 	Norwich City FC 	1	0
777	Newcastle United FC 	West Ham United FC 	0	0
778	Southampton FC 	Sunderland AFC 	1	1
779	Stoke City FC 	Crystal Palace FC 	2	1
780	Cardiff City FC 	Manchester City FC 	3	2
781	Tottenham Hotspur FC 	Swansea City AFC 	1	0
782	Manchester United FC 	Chelsea FC 	0	0
783	Cardiff City FC 	Everton FC 	0	0
784	Crystal Palace FC 	Sunderland AFC 	3	1
785	Manchester City FC 	Hull City AFC 	2	0
786	Newcastle United FC 	Fulham FC 	1	0
787	Norwich City FC 	Southampton FC 	1	0
788	West Ham United FC 	Stoke City FC 	0	1
789	Arsenal FC 	Tottenham Hotspur FC 	1	0
790	Liverpool FC 	Manchester United FC 	1	0
791	West Bromwich Albion FC 	Swansea City AFC 	0	2
792	Aston Villa FC 	Newcastle United FC 	1	2
793	Everton FC 	Chelsea FC 	1	0
794	Fulham FC 	West Bromwich Albion FC 	1	1
795	Hull City AFC 	Cardiff City FC 	1	1
796	Manchester United FC 	Crystal Palace FC 	2	0
797	Stoke City FC 	Manchester City FC 	0	0
798	Sunderland AFC 	Arsenal FC 	1	3
799	Tottenham Hotspur FC 	Norwich City FC 	2	0
800	Southampton FC 	West Ham United FC 	0	0
801	Swansea City AFC 	Liverpool FC 	2	2
802	Chelsea FC 	Fulham FC 	2	0
803	Liverpool FC 	Southampton FC 	0	1
804	Newcastle United FC 	Hull City AFC 	2	3
805	Norwich City FC 	Aston Villa FC 	0	1
806	West Bromwich Albion FC 	Sunderland AFC 	3	0
807	West Ham United FC 	Everton FC 	2	3
808	Arsenal FC 	Stoke City FC 	3	1
809	Cardiff City FC 	Tottenham Hotspur FC 	0	1
810	Crystal Palace FC 	Swansea City AFC 	0	2
811	Manchester City FC 	Manchester United FC 	4	1
812	Aston Villa FC 	Manchester City FC 	3	2
813	Fulham FC 	Cardiff City FC 	1	2
814	Hull City AFC 	West Ham United FC 	1	0
815	Manchester United FC 	West Bromwich Albion FC 	1	2
816	Southampton FC 	Crystal Palace FC 	2	0
817	Swansea City AFC 	Arsenal FC 	1	2
818	Tottenham Hotspur FC 	Chelsea FC 	1	1
819	Stoke City FC 	Norwich City FC 	0	1
820	Sunderland AFC 	Liverpool FC 	1	3
821	Everton FC 	Newcastle United FC 	3	2
822	Cardiff City FC 	Newcastle United FC 	1	2
823	Fulham FC 	Stoke City FC 	1	0
824	Hull City AFC 	Aston Villa FC 	0	0
825	Liverpool FC 	Crystal Palace FC 	3	1
826	Manchester City FC 	Everton FC 	3	1
827	Sunderland AFC 	Manchester United FC 	1	2
828	Norwich City FC 	Chelsea FC 	1	3
829	Southampton FC 	Swansea City AFC 	2	0
830	Tottenham Hotspur FC 	West Ham United FC 	0	3
831	West Bromwich Albion FC 	Arsenal FC 	1	1
832	Arsenal FC 	Norwich City FC 	4	1
833	Chelsea FC 	Cardiff City FC 	4	1
834	Everton FC 	Hull City AFC 	2	1
835	Manchester United FC 	Southampton FC 	1	1
836	Newcastle United FC 	Liverpool FC 	2	2
837	Stoke City FC 	West Bromwich Albion FC 	0	0
838	Swansea City AFC 	Sunderland AFC 	4	0
839	West Ham United FC 	Manchester City FC 	1	3
840	Aston Villa FC 	Tottenham Hotspur FC 	0	2
841	Crystal Palace FC 	Fulham FC 	1	4
842	Aston Villa FC 	Everton FC 	0	2
843	Crystal Palace FC 	Arsenal FC 	0	2
844	Liverpool FC 	West Bromwich Albion FC 	4	1
845	Manchester United FC 	Stoke City FC 	3	2
846	Norwich City FC 	Cardiff City FC 	0	0
847	Southampton FC 	Fulham FC 	2	0
848	Chelsea FC 	Manchester City FC 	2	1
849	Sunderland AFC 	Newcastle United FC 	2	1
850	Swansea City AFC 	West Ham United FC 	0	0
851	Tottenham Hotspur FC 	Hull City AFC 	1	0
852	Arsenal FC (	Liverpool FC (	2	0
853	Fulham FC (	Manchester United FC (	1	3
854	Hull City AFC (	Sunderland AFC (	1	0
855	Manchester City FC (	Norwich City FC (	7	0
856	Newcastle United FC (	Chelsea FC (	2	0
857	Stoke City FC (	Southampton FC (	1	1
858	West Bromwich Albion FC (	Crystal Palace FC (	2	0
859	West Ham United FC (	Aston Villa FC (	0	0
860	Cardiff City FC (	Swansea City AFC (	1	0
861	Everton FC (	Tottenham Hotspur FC (	0	0
862	Aston Villa FC (	Cardiff City FC (	2	0
863	Chelsea FC (	West Bromwich Albion FC (	2	2
864	Crystal Palace FC (	Everton FC (	0	0
865	Liverpool FC (	Fulham FC (	4	0
866	Norwich City FC (	West Ham United FC (	3	1
867	Southampton FC (	Hull City AFC (	4	1
868	Manchester United FC (	Arsenal FC (	1	0
869	Sunderland AFC (	Manchester City FC (	1	0
870	Swansea City AFC (	Stoke City FC (	3	3
871	Tottenham Hotspur FC (	Newcastle United FC (	0	1
872	Arsenal FC (	Southampton FC (	2	0
873	Everton FC (	Liverpool FC (	3	3
874	Fulham FC (	Swansea City AFC (	1	2
875	Hull City AFC (	Crystal Palace FC (	0	1
876	Newcastle United FC (	Norwich City FC (	2	1
877	Stoke City FC (	Sunderland AFC (	2	0
878	West Ham United FC (	Chelsea FC (	0	3
879	Cardiff City FC (	Manchester United FC (	2	2
880	Manchester City FC (	Tottenham Hotspur FC (	6	0
881	West Bromwich Albion FC (	Aston Villa FC (	2	2
882	Aston Villa FC (	Sunderland AFC (	0	0
883	Cardiff City FC (	Arsenal FC (	0	3
884	Everton FC (	Stoke City FC (	4	0
885	Newcastle United FC (	West Bromwich Albion FC (	2	1
886	Norwich City FC (	Crystal Palace FC (	1	0
887	West Ham United FC (	Fulham FC (	3	0
888	Chelsea FC (	Southampton FC (	3	1
889	Hull City AFC (	Liverpool FC (	3	1
890	Manchester City FC (	Swansea City AFC (	3	0
891	Tottenham Hotspur FC (	Manchester United FC (	2	2
892	Crystal Palace FC (	West Ham United FC (	1	0
893	Arsenal FC (	Hull City AFC (	2	0
894	Fulham FC (	Tottenham Hotspur FC (	1	2
895	Liverpool FC (	Norwich City FC (	5	1
896	Manchester United FC (	Everton FC (	0	1
897	Southampton FC (	Aston Villa FC (	2	3
898	Stoke City FC (	Cardiff City FC (	0	0
899	Sunderland AFC (	Chelsea FC (	3	4
900	Swansea City AFC (	Newcastle United FC (	3	0
901	West Bromwich Albion FC (	Manchester City FC (	2	3
902	Crystal Palace FC (	Cardiff City FC (	2	0
903	Liverpool FC (	West Ham United FC (	4	1
904	Manchester United FC (	Newcastle United FC (	0	1
905	Southampton FC (	Manchester City FC (	1	1
906	Stoke City FC (	Chelsea FC (	3	2
907	Sunderland AFC (	Tottenham Hotspur FC (	1	2
908	West Bromwich Albion FC (	Norwich City FC (	0	2
909	Arsenal FC (	Everton FC (	1	1
910	Fulham FC (	Aston Villa FC (	2	0
911	Swansea City AFC (	Hull City AFC (	1	1
912	Cardiff City FC (	West Bromwich Albion FC (	1	0
913	Chelsea FC (	Crystal Palace FC (	2	1
914	Everton FC (	Fulham FC (	4	1
915	Hull City AFC (	Stoke City FC (	0	0
916	Manchester City FC (	Arsenal FC (	6	3
917	Newcastle United FC (	Southampton FC (	1	1
918	West Ham United FC (	Sunderland AFC (	0	0
919	Aston Villa FC (	Manchester United FC (	0	3
920	Norwich City FC (	Swansea City AFC (	1	1
921	Tottenham Hotspur FC (	Liverpool FC (	0	5
922	Crystal Palace FC (	Newcastle United FC (	0	3
923	Fulham FC (	Manchester City FC (	2	4
924	Liverpool FC (	Cardiff City FC (	3	1
925	Manchester United FC (	West Ham United FC (	3	1
926	Stoke City FC (	Aston Villa FC (	2	1
927	Sunderland AFC (	Norwich City FC (	0	0
928	West Bromwich Albion FC (	Hull City AFC (	1	1
929	Southampton FC (	Tottenham Hotspur FC (	2	3
930	Swansea City AFC (	Everton FC (	1	2
931	Arsenal FC (	Chelsea FC (	0	0
932	Aston Villa FC (	Crystal Palace FC (	0	1
933	Cardiff City FC (	Southampton FC (	0	3
934	Chelsea FC (	Swansea City AFC (	1	0
935	Everton FC (	Sunderland AFC (	0	1
936	Hull City AFC (	Manchester United FC (	2	3
937	Manchester City FC (	Liverpool FC (	2	1
938	Newcastle United FC (	Stoke City FC (	5	1
939	Norwich City FC (	Fulham FC (	1	2
940	Tottenham Hotspur FC (	West Bromwich Albion FC (	1	1
941	West Ham United FC (	Arsenal FC (	1	3
942	Aston Villa FC (	Swansea City AFC (	1	1
943	Cardiff City FC (	Sunderland AFC (	2	2
944	Hull City AFC (	Fulham FC (	6	0
945	Manchester City FC (	Crystal Palace FC (	1	0
946	Norwich City FC (	Manchester United FC (	0	1
947	West Ham United FC (	West Bromwich Albion FC (	3	3
948	Chelsea FC (	Liverpool FC (	2	1
949	Everton FC (	Southampton FC (	2	1
950	Newcastle United FC (	Arsenal FC (	0	1
951	Tottenham Hotspur FC (	Stoke City FC (	3	0
952	Arsenal FC (	Cardiff City FC (	2	0
953	Crystal Palace FC (	Norwich City FC (	1	1
954	Fulham FC (	West Ham United FC (	2	1
955	Liverpool FC (	Hull City AFC (	2	0
956	Manchester United FC (	Tottenham Hotspur FC (	1	2
957	Southampton FC (	Chelsea FC (	0	3
958	Stoke City FC (	Everton FC (	1	1
959	Sunderland AFC (	Aston Villa FC (	0	1
960	Swansea City AFC (	Manchester City FC (	2	3
961	West Bromwich Albion FC (	Newcastle United FC (	1	0
962	Cardiff City FC (	West Ham United FC (	0	2
963	Everton FC (	Norwich City FC (	2	0
964	Fulham FC (	Sunderland AFC (	1	4
965	Hull City AFC (	Chelsea FC (	0	2
966	Manchester United FC (	Swansea City AFC (	2	0
967	Southampton FC (	West Bromwich Albion FC (	1	0
968	Tottenham Hotspur FC (	Crystal Palace FC (	2	0
969	Newcastle United FC (	Manchester City FC (	0	2
970	Stoke City FC (	Liverpool FC (	3	5
971	Aston Villa FC (	Arsenal FC (	1	2
972	Arsenal FC (	Fulham FC (	2	0
973	Crystal Palace FC (	Stoke City FC (	1	0
974	Liverpool FC (	Aston Villa FC (	2	2
975	Manchester City FC (	Cardiff City FC (	4	2
976	Norwich City FC (	Hull City AFC (	1	0
977	Sunderland AFC (	Southampton FC (	2	2
978	West Ham United FC (	Newcastle United FC (	1	3
979	Chelsea FC (	Manchester United FC (	3	1
980	Swansea City AFC (	Tottenham Hotspur FC (	1	3
981	West Bromwich Albion FC (	Everton FC (	1	1
982	Crystal Palace FC (	Hull City AFC (	1	0
983	Liverpool FC (	Everton FC (	4	0
984	Manchester United FC (	Cardiff City FC (	2	0
985	Norwich City FC (	Newcastle United FC (	0	0
986	Southampton FC (	Arsenal FC (	2	2
987	Swansea City AFC (	Fulham FC (	2	0
988	Aston Villa FC (	West Bromwich Albion FC (	4	3
989	Chelsea FC (	West Ham United FC (	0	0
990	Sunderland AFC (	Stoke City FC (	1	0
991	Tottenham Hotspur FC (	Manchester City FC (	1	5
992	Cardiff City FC (	Norwich City FC (	2	1
993	Everton FC (	Aston Villa FC (	2	1
994	Fulham FC (	Southampton FC (	0	3
995	Hull City AFC (	Tottenham Hotspur FC (	1	1
996	Newcastle United FC (	Sunderland AFC (	0	3
997	Stoke City FC (	Manchester United FC (	2	1
998	West Ham United FC (	Swansea City AFC (	2	0
999	Arsenal FC (	Crystal Palace FC (	2	0
1000	West Bromwich Albion FC (	Liverpool FC (	1	1
1001	Manchester City FC (	Chelsea FC (	0	1
1002	Aston Villa FC (	West Ham United FC (	0	2
1003	Chelsea FC (	Newcastle United FC (	3	0
1004	Crystal Palace FC (	West Bromwich Albion FC (	3	1
1005	Liverpool FC (	Arsenal FC (	5	1
1006	Norwich City FC (	Manchester City FC (	0	0
1007	Southampton FC (	Stoke City FC (	2	2
1008	Sunderland AFC (	Hull City AFC (	0	2
1009	Swansea City AFC (	Cardiff City FC (	3	0
1010	Manchester United FC (	Fulham FC (	2	2
1011	Tottenham Hotspur FC (	Everton FC (	1	0
