	Team 1	Team 2	Home_team_score	Away_team_score
470	Fulham FC (	Everton FC (	2	2
471	Manchester United FC (	Arsenal FC (	2	1
472	Norwich City FC (	Stoke City FC (	1	0
473	Sunderland AFC 	Aston Villa FC (	0	1
474	Swansea City AFC (	Chelsea FC (	1	1
475	Tottenham Hotspur FC (	Wigan Athletic FC (	0	1
476	West Ham United FC (	Manchester City FC (	0	0
477	Liverpool FC (	Newcastle United FC (	1	1
478	Queens Park Rangers FC (	Reading FC 	1	1
479	West Bromwich Albion FC (	Southampton FC (	2	0
480	Arsenal FC (	Fulham FC (	3	3
481	Aston Villa FC (	Manchester United FC (	2	3
482	Everton FC (	Sunderland AFC (	2	1
483	Reading FC (	Norwich City FC (	0	0
484	Southampton FC (	Swansea City AFC (	1	1
485	Stoke City FC (	Queens Park Rangers FC (	1	0
486	Wigan Athletic FC (	West Bromwich Albion FC (	1	2
487	Chelsea FC (	Liverpool FC (	1	1
488	Manchester City FC (	Tottenham Hotspur FC (	2	1
489	Newcastle United FC (	West Ham United FC (	0	1
490	Arsenal FC (	Tottenham Hotspur FC (	5	2
491	Liverpool FC (	Wigan Athletic FC (	3	0
492	Manchester City FC (	Aston Villa FC (	5	0
493	Newcastle United FC (	Swansea City AFC (	1	2
494	Norwich City FC (	Manchester United FC (	1	0
495	Queens Park Rangers FC (	Southampton FC (	1	3
496	Reading FC (	Everton FC (	2	1
497	West Bromwich Albion FC (	Chelsea FC (	2	1
498	Fulham FC (	Sunderland AFC (	1	3
499	West Ham United FC (	Stoke City FC (	1	1
500	Aston Villa FC (	Arsenal FC (	0	0
501	Everton FC (	Norwich City FC (	1	1
502	Manchester United FC (	Queens Park Rangers FC (	3	1
503	Stoke City FC (	Fulham FC (	1	0
504	Sunderland AFC (	West Bromwich Albion FC (	2	4
505	Wigan Athletic FC (	Reading FC (	3	2
506	Chelsea FC (	Manchester City FC (	0	0
507	Southampton FC (	Newcastle United FC (	2	0
508	Swansea City AFC (	Liverpool FC (	0	0
509	Tottenham Hotspur FC (	West Ham United FC (	3	1
510	Aston Villa FC (	Reading FC (	1	0
511	Sunderland AFC (	Queens Park Rangers FC (	0	0
512	Chelsea FC (	Fulham FC (	0	0
513	Everton FC (	Arsenal FC (	1	1
514	Manchester United FC (	West Ham United FC (	1	0
515	Southampton FC (	Norwich City FC (	1	1
516	Stoke City FC (	Newcastle United FC (	2	1
517	Swansea City AFC (	West Bromwich Albion FC (	3	1
518	Tottenham Hotspur FC (	Liverpool FC (	2	1
